# x y z tau_x tau_y tau_z
0.01613196723 -0.0254 0 -0.000764807 0.000171356 0
0.01678577618 -0.0254 0 -0.000769164 0.000196253 0
0.017444668315 -0.0254 0 -0.0006505 0.000179227 1.59039e-20
0.018108683155 -0.0254 0 -0.000373425 3.23883e-05 1.86143e-20
0.018777860535 -0.0254 0 0.000300294 -0.000437293 0
0.01945224059 -0.0254 0 0.00120776 -0.00100493 0
0.02013186376 -0.0254 0 0.00233868 -0.00188656 5.62456e-21
0.020816770815 -0.0254 0 0.00392023 -0.00284392 0
0.02150700284 -0.0254 0 0.00597734 -0.00342765 0
0.022202601235 -0.0254 0 0.00821766 -0.00358106 -2.44442e-21
0.022903607715 -0.0254 0 0.0102959 -0.00312704 0
0.02361006433 -0.0254 0 0.0120963 -0.00262202 -1.82652e-21
0.024322013455 -0.0254 0 0.0136851 -0.00222723 -3.29629e-21
0.02503949779 -0.0254 0 0.0151248 -0.00191746 0
0.025762560375 -0.0254 0 0.0164354 -0.0016728 0
0.026491244575 -0.0254 0 0.0176357 -0.00147948 0
0.027225594095 -0.0254 0 0.0187435 -0.00132583 0
0.02796565298 -0.0254 0 0.0197747 -0.00120266 0
0.028711465625 -0.0254 0 0.0207422 -0.00110313 -2.31804e-21
0.02946307676 -0.0254 0 0.0216569 -0.00102201 -2.23469e-21
0.030220531465 -0.0254 0 0.0225281 -0.000955396 -2.16122e-21
0.03098387518 -0.0254 0 0.0233629 -0.000900407 0
0.031753153685 -0.0254 0 0.0241669 -0.000855821 2.03635e-21
0.03252841312 -0.0254 0 0.0249475 -0.00082315 0
0.033309699985 -0.0254 0 0.0257103 -0.000797271 -1.93244e-21
0.034097061145 -0.0254 0 0.026458 -0.000774889 -1.88623e-21
0.034890543825 -0.0254 0 0.0271931 -0.000755686 0
0.03569019562 -0.0254 0 0.0279175 -0.000738904 0
0.03649606449 -0.0254 0 0.028633 -0.000724313 0
0.03730819877 -0.0254 0 0.0293416 -0.000711538 -1.72851e-21
0.038126647175 -0.0254 0 0.0300444 -0.000700621 0
0.03895145879 -0.0254 0 0.0307428 -0.000690818 0
0.039782683095 -0.0254 0 0.032126 -0.000693519 0
0.040620369945 -0.0254 0 0.033205 -0.000690927 0
0.04146456958 -0.0254 0 0.0344488 -0.000694076 0
0.04231533264 -0.0254 0 0.0355742 -0.000694766 0
0.04317271015 -0.0254 0 0.0368089 -0.000697725 0
