#     point_x       point_y       point_z
     0.210173    -0.0249628        0.0005
     0.212382    -0.0247314       -0.0005
     0.212382    -0.0247314        0.0005
     0.214677     -0.024491       -0.0005
     0.214677     -0.024491        0.0005
     0.217061    -0.0242412       -0.0005
     0.217061    -0.0242412        0.0005
     0.219538    -0.0239817       -0.0005
     0.219538    -0.0239817        0.0005
     0.222112    -0.0237121       -0.0005
     0.222112    -0.0237121        0.0005
     0.224785     -0.023432       -0.0005
     0.224785     -0.023432        0.0005
     0.227563     -0.023141       -0.0005
     0.227563     -0.023141        0.0005
     0.230449    -0.0228387       -0.0005
     0.230449    -0.0228387        0.0005
     0.233447    -0.0225246       -0.0005
     0.233447    -0.0225246        0.0005
     0.236562    -0.0221983       -0.0005
